fredrich  lawson    1    563 West Apple Orchard Road             1234567890Manchester                    New Hamp  US
pamela    smith     1    256 East Apple Orchard Road             1234567890Concord                       New Hamp  US
james     thyson    1    63  North Apple Orchard Road            1234567890Manchester                    New Hamp  US
barbara   sweeney        349 South Apple Orchard Road            1234567890Concord                       New Hamp  US
richard   jacobs    1    38  West Apple Orchard Road             1234567890Manchester                    New Hamp  US
mary      miller    1    20  East Apple Orchard Road             1234567890Concord                       New Hamp  US
franklin  ford      1    293 North Apple Orchard Road            1234567890Manchester                    New Hamp  US
jessica   patrick   1    843 South Apple Orchard Road            1234567890Concord                       New Hamp  US
john      wang      1    39  West Apple Orchard Road             1234567890Manchester                    New Hamp  US
peter     barnes    1    5   East Apple Orchard Road             1234567890Concord                       New Hamp  US
